pattern,canonical
national health and welfare,Health Canada (federal health portfolio)
dept. of national health and welfare,Health Canada (federal health portfolio)
department of national health and welfare,Health Canada (federal health portfolio)
health and welfare canada,Health Canada (federal health portfolio)
health canada,Health Canada (federal health portfolio)
public health agency of canada,Public Health Agency of Canada
statistics canada,Statistics Canada
world health organization,World Health Organization
alberta health services,Alberta Health Services
alberta health and wellness,Alberta Health
alberta health & wellness,Alberta Health
alberta public health,Alberta Health
alberta. dept. of public health,Alberta Health
alberta health,Alberta Health
alberta mental health board,Alberta Mental Health Board
mental health patient advocate office,Alberta Mental Health Patient Advocate Office
public health appeal board,Alberta Public Health Appeal Board
public health advisory and appeal board,Alberta Public Health Advisory and Appeal Board
university of alberta hospital,University of Alberta Hospital
ontario. ministry of health,Ontario Ministry of Health
ontario ministry of health,Ontario Ministry of Health
ontario. dept. of health,Ontario Ministry of Health
ontario dept. of health,Ontario Ministry of Health
ontario council of health,Ontario Council of Health
ontario hospital services commission,Ontario Hospital Services Commission
ontario ministry of the environment,Ontario Ministry of the Environment
ontario ministry of labour,Ontario Ministry of Labour
human rights tribunal of ontario,Human Rights Tribunal of Ontario
royal commission on health services,Royal Commission on Health Services
asbestos in ontario,Royal Commission on Asbestos (Ontario)
hospital for sick children,Royal Commission into Deaths at the Hospital for Sick Children
severe acute respiratory syndrome,SARS Commission
sars commission,SARS Commission
