item_id,year,date_norm,date_raw,date_method,title_ascii
micro_IA04244210_0002,2010,2010,2010-01-01T00:00:00Z,exact,Irrigation water quality and food safety final report Agriculture Development Fund project # 20060056
micro_IA04244210_0211,2010,2010,2010-01-01T00:00:00Z,exact,"Quarterly compliance and enforcement summary January 1, 2010 to March 31, 2010"
micro_IA04244210_0212,2010,2010,2010-01-01T00:00:00Z,exact,"Quarterly compliance and enforcement summary April 1, 2010 to June 30, 2010"
micro_IA04244210_0213,2010,2010,2010-01-01T00:00:00Z,exact,"Quarterly environmental compliance and enforcement summary July 1, 2010 to September 30, 2010"
micro_IA04244210_0214,2010,2010,2010-01-01T00:00:00Z,exact,"Quarterly environmental compliance and enforcement summary October 1, 2010 to December 31, 2010"
micro_IA04244210_0258,2010,2010,2010-01-01T00:00:00Z,exact,City of Cranbrook 2009 annual report
micro_IA04244210_0337,2010,2010,2010-01-01T00:00:00Z,exact,Selected vital statistics and health status indicators one hundred and thirty-eighth annual report 2009
micro_IA04244212_1865,2010,2010,2010-01-01T00:00:00Z,exact,Locally planned care annual business plan 2010-2011
micro_IA04244212_1866,2010,2010,2010-01-01T00:00:00Z,exact,Annual report 2009-2010
micro_IA04244212_2317,2010,2010,2010-01-01T00:00:00Z,exact,"Saskatchewan Disease Control Laboratory newsletter. Volume 1, number 1 (January 2010)"
micro_IA04244212_2318,2010,2010,2010-01-01T00:00:00Z,exact,"Saskatchewan Disease Control Laboratory newsletter. Volume 1, number 2 (October 2010)"
micro_IA24402414_0250,2010,2010,2010-01-01T00:00:00Z,exact,CNSC staff integrated safety assessment of Canadian nuclear power plants for 2009
micro_IA24402414_0262,2010,2010,2010-01-01T00:00:00Z,exact,Annual report on the Privacy Act 2009-10 Rapport annuel concernant la loi sur la protection des renseignements personnels 2009-2010
micro_IA24402414_0268,2010,2010,2010-01-01T00:00:00Z,exact,Annual report on the Access to Information Act 2009-10 INFO-0803 = rapport annuel concernant la loi sur l'acces a l'information 2009-2010 : INFO-0803
