item_id,year,date_norm,date_raw,date_method,title_ascii
manualofhygienef00onta,1886,1886,1886-01-01T00:00:00Z,exact,Manual of hygiene for use in normal and model schools
highschoolcadetc00onta,1898,1898,1898-01-01T00:00:00Z,exact,"High school cadet corps, classes in military instruction"
31761115568560,1900,1900,1900-01-01T00:00:00Z,exact,Demographic review : preliminary stage working paper = etude demographique etudes de letape preliminaire
31761119735702,1900,1900,1900-01-01T00:00:00Z,exact,The Health Discipline Board
qucalendarmed1902,1902,1902,1902-01-01T00:00:00Z,exact,"Calendar of the Faculty of Medicine and the Royal College of Physicians and Surgeons, 1902-03"
qucalendarmed1903,1903,1903,1903-01-01T00:00:00Z,exact,"Calendar of the Faculty of Medicine, 1903-04"
footmouthdisea,1904,1904,1904-01-01T00:00:00Z,exact,Foot and Mouth Disease
1905v39i14p85_0299,1905,1905,1905-01-01T00:00:00Z,exact,"Return to an address of the Senate, dated 5th August, 1904, showing the names of all liquid mixtures known as patent or proprietary medicines purporting to remove the most varied forms of disease occurring in the human body, and when weakened by such disease or by any indulgence, haibt or accident, to restore it to its former strength and vigour. Showing also the amount of money, if any, paid by importer, maker, mixer or vendor, to the government as special tax of license, and to whom paid. Showing likewise if the government has any knowledge of the ingredients which are employed to make these compounds : 1. Has such knowledge been acquired from the statements of the parties who have the formula? 2. Has it been acquired by qualitative and quantitative analysis of the Dominion analyst, or by any other practical chemist, if so, what quantities are contained in a determinate, say, one fluid ounce, of the following named ingredients : 1. Water, quantity in a determinate measure, say, one fluid ounce, of the preparations examined. 2. Alcohol in any form other than absolute ; methylated or proof spirit or any other form ; essences, ethers or any other solvent ; colouring or flavouring substances, and, lastly, the solid ingredients in said preparations, the quantity and names of each."
190191PREDBS71908eng,1908,1908,1908-01-01T00:00:00Z,exact,Longevity and sanitation.
stratchconatrust00onta,1911,1911,1911-01-01T00:00:00Z,exact,The Stratchcona Trust
enthepblheatur,1915,1915,1915-01-01T00:00:00Z,exact,Entero-Hepatitis or Black-Head in Turkeys
1916v51i28p75_1228,1916,1916,1916-01-01T00:00:00Z,exact,"Communication from the Acting High Commissioner for Canada in London, Sir George Perley, enclosing a report on the Canadian Hospital at Dinard by Dr. Rallier du Baty, Chief Surgeon at the said hospital."
31761119734887,1916,1916,1916-01-01T00:00:00Z,exact,"Special bulletin, April, 1916"
anthraxhiggins,1916,1916,1916-01-01T00:00:00Z,exact,Anthrax
furtcontbiolhy00agri,1916,1916,1916-01-01T00:00:00Z,exact,A further contribution on the biology of hypoderma lineatum.
evaporatapples,1917,1917,1917-01-01T00:00:00Z,exact,Evaporated apples
intestparapoul,1917,1917,1917-01-01T00:00:00Z,exact,Intestinal parasites of poultry : their prevention and treatment
2ndmentallycomm00onta,1918,1918,1918-01-01T00:00:00Z,exact,Royal Commission on The Care and Control of the Mentally Defective and Feeble-minded in Ontario (and the Prevalence of Venereal Disease). Second Interim Report
intmentallycomm00onta,1918,1918,1918-01-01T00:00:00Z,exact,Royal Commission on The Care and Control of the Mentally Defective and Feeble-minded in Ontario (and the Prevalence of Venereal Disease). First Interim Report
ableg_33398004830161,1919,1919,1919-01-01T00:00:00Z,exact,"Report of the Public Health Branch of the Department of Municipal Affairs, Province of Alberta / 1918"
31761115548893,1920,1920,1920-01-01T00:00:00Z,exact,Report of the Department of Health for the fiscal year ended March 31 ..
ableg_33398004633359_01,1920,1920,1920-01-01T00:00:00Z,exact,Annual report of the Department of Public Health including Vital Statistics Branch / 1919
b362703,1920,1920,1920-01-01T00:00:00Z,exact,"Report of Colin G. Snider, Commissioner, in Inquiry Respecting Ontario Hospital, Hamilton"
1921v57i5p12_1556,1921,1921,1921-01-01T00:00:00Z,exact,"Report of the Department of Health for the fiscal year ending March 31, 1920."
ableg_33398003650552,1921,1921,1921-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
ableg_33398004633359_02,1921,1921,1921-01-01T00:00:00Z,exact,Annual report of the Department of Public Health including Vital Statistics Branch / 1920
1922v58i5p12_1613,1922,1922,1922-01-01T00:00:00Z,exact,"Report of the Department of Health for the fiscal year ending March 31, 1921."
ableg_33398004212949,1922,1922,1922-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
foxranchingincan12alle,1922,1922,1922-01-01T00:00:00Z,exact,Fox ranching in Canada.
schoolcadetcorps00onta,1922,1922,1922-01-01T00:00:00Z,exact,"School cadet corps, classes in military instruction"
1923v59i4p19_1671,1923,1923,1923-01-01T00:00:00Z,exact,"Report of the Department of Health, for the fiscal year ended March 31, 1922."
ableg_33398004212956,1923,1923,1923-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
1924v60i4p19_1712,1924,1924,1924-01-01T00:00:00Z,exact,"Report of the Department of Health, for the fiscal year ended March 31, 1923."
ableg_33398004212964,1924,1924,1924-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
1925v61i4p19_1765,1925,1925,1925-01-01T00:00:00Z,exact,"Report of the Department of Health, for the fiscal year ended March 31, 1924."
ableg_33398004212972,1925,1925,1925-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
annualreportofdi1925albe,1925,1925,1925-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
ableg_33398004212980,1926,1926,1926-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
31761115549271,1928,1928,1928-01-01T00:00:00Z,exact,Report of the work of the Department of Pensions and National Health for the year ending March 31 ..
ableg_33398004212998,1928,1928,1928-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
albertacommissio00wals,1928,1928,1928-03-09T00:00:00Z,exact,Alberta. Commission Respecting Innisfail Municipal Hospital Inquiry Report
ableg_33398004213004,1929,1929,1929-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
ableg_33398004213012,1929,1929,1929-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
reportofcommissi00hinc,1929,1929,1929-01-11T00:00:00Z,exact,"Report of the Commissioners Appointed to Investigate the Provincial Training School At Red Deer, Provincial Mental Institution At Oliver, Provincial Mental Hospital At Ponoka."
reportofinquiryi00albe,1929,1929,1929-01-01T00:00:00Z,exact,Report of the Inquiry into Systems of State Medicine as ordered by Messrs. White and Pattinson at the last session of the legislature of Alberta
ableg_33398004213020,1930,1930,1930-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
footmouthdisease131came,1930,1930,1930-01-01T00:00:00Z,exact,Foot and mouth disease.
lafivreaphteuse131came,1930,1930,1930-01-01T00:00:00Z,exact,La fievre aphteuse.
ableg_33398004213038,1931,1931,1931-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
parasitesofhorse152came,1931,1931,1931-01-01T00:00:00Z,exact,Parasites of horses.
ableg_33398004213046,1932,1932,1932-01-01T00:00:00Z,exact,Annual report of the Alberta Dept. of Public Health
finalreportofleg00albe,1934,1934,1934-01-01T00:00:00Z,exact,Final report of the Legislative Commission appointed to (a) Consider and make recommendations to the next Session of the Legislature as to the best method of making adequate medical and health services available to all the people of Alberta. (b) Report as to the financial arrangements which will be required on an actuarial basis to ensure the same
johnesdiseaseofc167hilt,1934,1934,1934-01-01T00:00:00Z,exact,Johne's disease of cattle.
1935981935pnfld1935eng,1935,1935,1935-01-01T00:00:00Z,exact,"Newfoundland : Census of Newfoundland and Labrador, 1935.Interim report."
ableg_33398004131271,1935,1935,1935-01-01T00:00:00Z,exact,"Annual report of the Department of Public Health, Province of Alberta, including Vital Statistics Branch / 1934"
b249483,1935,1935,1935-01-01T00:00:00Z,exact,"Report of the Inquiry Into the Internal Management of the Ontario Hospital, Mimico"
bovineinfectious150mitc,1935,1935,1935-01-01T00:00:00Z,exact,Bovine infectious abortion or Bang's disease of cattle
ableg_33398004131289,1936,1936,1936-01-01T00:00:00Z,exact,"Annual report of the Department of Public Health, Province of Alberta, including Vital Statistics Branch / 1935"
annualreportofdi1936albe,1936,1936,1936-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
1935981935fnfldv11937eng,1937,1937,1937-01-01T00:00:00Z,exact,"Tenth census of Newfoundland and Labrador, 1935. Vol. I. Populatin by districts and settlements"
1935981935fnfldv21937eng,1937,1937,1937-01-01T00:00:00Z,exact,"Tenth census of Newfoundland and Labrador, 1935. v. 2. Families and dwellings, occupations and earnings, buildings."
annualreportofdi1937albe,1937,1937,1937-01-01T00:00:00Z,exact,"Annual Report of the Division of Vital Statistics of the Department of Public Health, Province of Alberta"
coursesofstudygr00onta_68,1937,1937,1937-01-01T00:00:00Z,exact,"Courses of study, grade IX Health and physical education"
bovineinfectious00mitc,1938,1938,1938-01-01T00:00:00Z,exact,Bovine infectious abortion : or Bang's disease of cattle
coursesofstudygr00onta_69,1938,1938,1938-01-01T00:00:00Z,exact,"Courses of study, grades IX and X Health and Physical Education, 1938"
departmentalexam01albe_1,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam02albe_1,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam03albe_1,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam04albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam05albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
departmentalexam06albe_0,1938,1938,1938-01-01T00:00:00Z,exact,"Departmental examinations, 1938, grade IX / Alberta."
healthhandbookof00onta,1938,1938,1938-01-01T00:00:00Z,exact,"Health, a handbook of suggestions for teachers in Public and separate schools"
