count,cleaned_issuer
49,"Canada. Parliament. House of Commons. Standing Committee on Health, Welfare and Social Affairs"
40,Alberta. Alberta Human Resources and Employment. Information Services
31,"Canada. Parliament. Senate. Standing Committee on Social Affairs, Science and Technology"
31,Ontario Department of Education
28,Pmra
22,Alberta. Alberta Social Services and Community Health
21,Ontario. Occupational Health and Safety Division
18,Health Services Restructuring Commission
17,"Ottawa, Queen's Printer"
16,Canada. Parliament. House of Commons. Standing Committee on Health
16,Alberta. Occupational Health and Safety Heritage Grant Program
14,Alberta. Dept. of Health and Social Development
14,Alberta. Dept. of Social Services and Community Health. Research and Planning Division
14,Alberta. Alberta Human Resources and Employment
13,National Clearinghouse on Family Violence (Canada)
13,Royal Commission on the Future of the Toronto Waterfront (Canada)
13,Alberta. Alberta Learning
13,Alberta. Alberta Occupational Health and Safety. Research and Information Development
12,Alberta. Vital Statistics Branch
12,Alberta. Alberta Community and Occupational Health
12,Alberta. Alberta Labour. Information Services
11,Ontario. Legislative Assembly. Standing Committee on Public Accounts
11,Canada. Labour Canada. Occupational Safety and Health
11,Health Action Task Force
10,Queen's Printer
10,Alberta Cancer Registry
10,Alberta. Alberta Hospitals & Medical Care
10,"Alberta Human Resources & Employment, Information Services"
9,"Canada. Parliament. Senate. Standing Committee on Health, Welfare and Science"
9,Environment Canada
9,Canada. Commission of Conservation. Committee on Public Health
9,Ministry of Health
9,Ontario. Royal Commission on Electric Power Planning
9,Health Quality Ontario
9,Alberta. Distance Learning
8,"Library of Parliament, Research Branch"
8,McMaster University
8,Alberta. Executive Council
8,Alberta Alcohol and Drug Abuse Commission
8,Alberta. Alberta Occupational Health and Safety
8,Canada. Agriculture Canada
8,Premier's Commission on Future Health Care for Albertans
8,Alberta. Sexually Transmitted Disease Control
7,Canada. Dominion Bureau of Statistics
7,Canada
7,Canada. Dept. of Finance
7,National Advisory Council on Aging (Canada)
7,Ontario. Workplace Health and Safety Agency
7,Canada. Royal Commission on New Reproductive Technologies
7,Alberta
7,Alberta. Health Surveillance
7,Alberta. Community Health Division. Division Support Branch
6,"Northcott, Herbert C., 1947-"
6,Human Resources Development Canada
6,Ontario. Ministry of Labour
6,Ministry of Labour
6,Alberta. Dept. of Health. Environmental Health Services Division
6,Umbrella Alberta Primary Health Care Project
6,Northern Alberta Development Council
6,Alberta. Social Hygiene Services
6,"Edmonton, Alta.)"
6,Alberta. High School Entrance Examination Board
6,Alberta. Health Resourcing Branch
6,"Kennedy, Murray J"
5,"Dept. of Agriculture, Health of Animals Branch"
5,Canada. Environment Canada
5,Canada. Parliament. Senate. Subcommittee on Population Health
5,Labour Canada
5,Ministry of Health and Long-Term Care
5,Canada. Parliament. House of Commons. Sub-Committee on the Status of Women
5,Ontario. Ministry of Education
5,Ontario. Premier's Council on Health Strategy
5,Alberta. Hospital Services Commission
5,Alberta Land and Forest Services
5,Alberta. Nursing Home Plan
5,Alberta. Hospitals Division
5,Alberta Heritage Foundation for Medical Research
5,Alberta. Alberta Employment and Immigration
5,Alberta. Energy Resources Conservation Board
5,Alberta. Alberta Environment
5,"Doherty-Poirier, Maryanne"
5,Alberta Heritage Foundation for Medical Research. Health Technology Assessment Unit
5,Alberta Social Resources Inventory
4,Hamilton-Wentworth District Health Council
4,Canada. Environmental Health Directorate
4,Govt. of Canada
4,Canada. Health Protection Branch
4,Canada. Review of Demography and Its Implications for Economic and Social Policy
4,Canadian Institutes of Health Research
4,Canada. Parliament. House of Commons. Sub-Committee on Poverty
4,Ontario. Joint Steering Committee on Hazardous Substances in the Workplace
4,Canada. Dept. of Labour. Occupational Safety and Health
4,Ontario. Task Force on Health and Safety in Agriculture
4,Ontario. Commission of Inquiry into the Confidentiality of Health Information
4,Ontario. Health Professions Regulatory Advisory Council
4,"Ontario, Ministry of Health and Long-Term Care"
4,"Ontario, Ministry of Health"
4,Ontario. Funeral Services Review Board
4,Commission on the Future of Health Care in Canada
4,"Calgary, Alta.)"
4,Alberta. Occupational Health and Safety Council
4,Canada. Agriculture and Agri-Food Canada
4,"Hailey, David"
4,Ontario Ministry of Education
4,"Cameron, A. E"
4,Alberta. Long Term Care Review. Policy Advisory Committee
4,Ontario Health
4,Alberta. Sexually Transmitted Disease Services
3,Newfoundland.Dept. of Public Health and Welfare
3,Pest Management Regulatory Agency
3,Canada. Seniors
3,Aboriginal Head Start on Reserve Program (Canada)
3,Canada. Dept. of Health and Welfare
3,National Day Care Information Centre (Canada)
3,Canada. Dept. of Pensions and National Health
3,Canada Pension Plan Advisory Board
3,s.n
3,Institute of Aging (Canada)
3,"Canada. Laws, Statutes, Etc"
3,"Madore, Odette"
3,"Canada. Parliament. House of Commons. Legislative Committee on Bill C-74, an Act Respecting the Protection of the Environment and Human Life and Health"
3,Industry Canada
3,Canada. Labour Canada
3,Walkerton Inquiry
3,Canada. Treasury Board. Personnel Policy Branch
3,Royal Commission on New Reproductive Technologies
3,Ontario Economic Council
3,Ontario. Women's Bureau
3,"Wadhera, Surinder"
3,"Fraser, R. D"
3,Ontario
3,Alberta. Dept. of Social Development
3,Alberta. Dept. of Health. Board of Visitors
3,Alberta. Dept. of Health. Hospital Services Section
3,Alberta. Dept. of Health
3,Hamilton District Health Council. Assessment and Placement Service
3,Canada. Dept. of Agriculture. Health of Animals Branch
3,Alberta Heart Health Project
3,Alberta. Occupational Health and Safety Division
3,MLA Task Force on Continuing Care Health Service and Accommodation Standards (Alberta)
3,Ontario. Department of Education
3,Ontario. Ministry of Revenue
3,"Crown, E. M. (Elizabeth Marie)"
3,Ontario. Ministry of Treasury and Economics. Central Statistical Services
3,Saskatchewan Health
3,Alberta. Alberta Manpower
3,"Hadwen, S. (Seymour), 1877-1947"
3,Alberta. Dept. of Education
3,"Adams, Barry"
3,South Saskatchewan River Basin Planning Program
2,Health Quality Council of Alberta
2,"Environmental Health Directorate, Health Protection Branch"
2,"Stuchly, M. A"
2,Dept. of Health
2,Canada. Civil Defence
2,Ontario. Legislative Assembly. Select Committee on Mental Health and Addictions
2,"Drummond, Alison, 1963-"
2,Canada. First Nations and Inuit Health Branch
2,Canadian International Development Agency
2,Canada. Fitness and Amateur Sport Directorate
2,Canada. Health Economics and Statistics Division
2,Canada. Dept. of Health
2,Canada. Medical Services Branch
2,"Grenon, André"
2,Canada. Pest Management Regulatory Agency
2,Income Security Programs (Canada)
2,Non-Insured Health Benefits Program (Canada)
2,Vancouver Incest and Sexual Abuse Centre (VISAC)
2,Canada. Family Violence Prevention Division
2,"Millar, W. J"
2,Canada. National Advisory Council on Aging
2,National Task Force on Suicide in Canada
2,Health Services Review '79 (Canada)
2,Ontario. Ministry of Labour. Research Branch
2,Cmhc
